,513260_amont,159740_amont,513010_amont,513180_amont,513380_amont,513580_amont,513130_amont,159741_amont,513890_amont,159742_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2021-09-29,,3088000.0,0.0,35558000.0,,0.0,32382000.0,1528000.0,,774000.0,73330000.0,1723203429.112599,0.006969132016991255,0.0038646793633060534
2021-09-30,,0.0,0.0,76900000.0,,0.0,0.0,0.0,,0.0,76900000.0,1868918221.1221652,0.006927860914744189,0.006969132016991255
2021-10-08,,0.0,0.0,24056000.0,,0.0,16254000.0,0.0,,0.0,40310000.0,3205002850.894654,0.002750030684932082,0.006927860914744189
2021-10-11,,7940000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,7940000.0,4415794619.788907,0.0004502649881349905,0.002750030684932082
2021-10-12,,0.0,4656000.0,35055000.0,,0.0,14219100.0,0.0,,0.0,53930100.0,2704422406.0256424,0.0031908988472126947,0.0004502649881349905
2021-10-15,,0.0,0.0,15700000.0,,0.0,0.0,0.0,,0.0,15700000.0,3524001180.453488,0.0008980365151233515,0.0031908988472126947
2021-10-18,,2331000.0,1554000.0,0.0,,0.0,1165500.0,0.0,,0.0,5050500.0,2136579584.926037,0.000392474579382336,0.0008980365151233515
2021-10-19,,2418000.0,0.0,0.0,,0.0,-16926000.0,798000.0,,810000.0,-12900000.0,2112701331.0821135,-0.0008125073807115608,0.000392474579382336
2021-10-20,,0.0,0.0,0.0,,0.0,-7434000.0,0.0,,0.0,-7434000.0,4474866859.651082,-0.0003899235764092508,-0.0008125073807115608
2021-10-21,,816000.0,0.0,0.0,,0.0,-5392200.0,-806000.0,,0.0,-5382200.0,2766028204.809477,-0.00030798645736524523,-0.0003899235764092508
2021-10-22,,1666000.0,0.0,0.0,,0.0,501600.0,0.0,,0.0,2167600.0,1946494471.495178,0.00016736608834680829,-0.00030798645736524523
2021-10-25,,834000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,834000.0,1931163364.2668316,8.034774209363925e-05,0.00016736608834680829
2021-10-26,,0.0,0.0,0.0,,0.0,245999.99999999997,0.0,,0.0,245999.99999999997,1896483223.0177984,1.8710580842297324e-05,8.034774209363925e-05
2021-10-27,,794000.0,0.0,0.0,,0.0,39114000.0,0.0,,0.0,39908000.0,2211633955.0391436,0.002739665728327204,1.8710580842297324e-05
2021-10-28,,1592000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1592000.0,1662573311.0997038,0.00014646551237369778,0.002739665728327204
2021-10-29,,791000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,791000.0,1807682355.6217844,6.55679781533066e-05,0.00014646551237369778
2021-11-01,,1562000.0,0.0,0.0,,0.0,58500000.0,0.0,,0.0,60062000.0,1904007307.6564565,0.005277633337339719,6.55679781533066e-05
2021-11-02,,1572000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1572000.0,2751353745.5923223,9.863123384933555e-05,0.005277633337339719
2021-11-03,,3104000.0,775000.0,49077000.0,,0.0,50116500.0,0.0,,0.0,103072500.0,2051113509.682334,0.008457046040151456,9.863123384933555e-05
2021-11-04,,783000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,783000.0,1863025893.363737,7.347829383685421e-05,0.008457046040151456
2021-11-05,,0.0,0.0,0.0,,0.0,1560000.0,0.0,,784000.0,2344000.0,2030369879.3168113,0.00020188402673263945,7.347829383685421e-05
2021-11-08,,1534000.0,40598000.0,66134000.0,,1530000.0,39066000.0,0.0,,0.0,148862000.0,2042246237.5104897,0.012106159113605453,0.00020188402673263945
2021-11-09,,10036000.0,26078000.0,51724000.0,,0.0,16918000.0,762000.0,,774000.0,106292000.0,1515776027.8973157,0.009721931459550873,0.012106159113605453
2021-11-10,,3875000.0,0.0,18672000.0,,0.0,6192000.0,0.0,,3900000.0,32639000.0,2288024960.395736,0.0025027135510702933,0.009721931459550873
2021-11-11,,3204000.0,0.0,0.0,,0.0,0.0,791000.0,,0.0,3995000.0,2816771032.9521217,0.0002341360685897894,0.0025027135510702933
2021-11-12,,1610000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1610000.0,2669509748.9113283,9.14658755893956e-05,0.0002341360685897894
2021-11-15,,0.0,0.0,0.0,,0.0,-1618000.0,0.0,,0.0,-1618000.0,1880126194.1979966,-0.00011811004021628284,9.14658755893956e-05
2021-11-16,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2622171467.657617,0.0,-0.00011811004021628284
2021-11-17,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,1938788905.8969483,0.0,0.0
2021-11-18,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2236612517.326321,0.0,0.0
2021-11-19,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,2961096070.6849117,0.0,0.0
2021-11-22,,0.0,0.0,1584000.0,,0.0,0.0,0.0,,0.0,1584000.0,2419398982.3162847,8.571573423119826e-05,0.0
2021-11-23,,0.0,0.0,2352000.0,,0.0,0.0,-1548000.0,,0.0,804000.0,2392830349.919142,5.418252025349449e-05,8.571573423119826e-05
2021-11-24,,783000.0,781000.0,32185000.0,,1562000.0,0.0,0.0,,0.0,35311000.0,3511299306.934917,0.002403938610907074,5.418252025349449e-05
2021-11-25,,3925000.0,784000.0,22064000.0,,0.0,1568000.0,777000.0,,790000.0,29908000.0,1861936739.652461,0.0028141681188257467,0.002403938610907074
2021-11-26,,1536000.0,766000.0,233310000.0,,10710000.0,82728000.0,0.0,,0.0,329050000.0,2807357897.9474545,0.02250957431293894,0.0028141681188257467
2021-11-29,,15876000.0,13572000.0,144778000.0,,0.0,88218000.0,6714000.0,,6064000.0,275222000.0,3017767230.4292374,0.01686153698120742,0.02250957431293894
2021-11-30,,14820000.0,73800000.0,424760000.0,,18425000.0,111136000.0,2924000.0,,2229000.0,648094000.0,3785619199.4647036,0.026811431794790563,0.01686153698120742
2021-12-01,,23219000.0,7480000.0,0.0,,0.0,0.0,8904000.0,,8283000.0,47886000.0,2494102528.60684,0.0026727100039804054,0.026811431794790563
2021-12-02,,2968000.0,17784000.0,59520000.0,,1482000.0,11100000.0,0.0,,0.0,92854000.0,2298723899.395171,0.005446580789888225,0.0026727100039804054
2021-12-03,,8074000.0,85761000.0,188160000.0,,13158000.0,111843000.0,3625000.0,,1472000.0,412093000.0,3554667236.725868,0.017808001001062043,0.005446580789888225
2021-12-06,,17016000.0,141400000.0,223728000.0,,8484000.0,123728000.0,9113000.0,,14220000.0,537689000.0,3838035750.3128076,0.024115558279252998,0.017808001001062043
2021-12-07,,24820000.0,729000.0,0.0,,0.0,0.0,10830000.0,,3665000.0,40044000.0,3221326550.0763354,0.0020005554938110877,0.024115558279252998
2021-12-08,,0.0,0.0,0.0,,0.0,32384000.0,0.0,,0.0,32384000.0,2075741911.270241,0.0022083334109746287,0.0020005554938110877
2021-12-09,,1490000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1490000.0,1834284535.0991807,8.729452878516318e-05,0.0022083334109746287
2021-12-10,,1478000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1478000.0,1953270595.1469805,0.00011432680650418034,8.729452878516318e-05
2021-12-13,,0.0,0.0,10458000.0,,0.0,102672000.0,0.0,,0.0,113130000.0,2399287826.737121,0.007474691185505931,0.00011432680650418034
2021-12-14,,0.0,0.0,133768000.0,,0.0,73023000.0,0.0,,0.0,206791000.0,1760042460.6817393,0.013575489063704168,0.007474691185505931
2021-12-15,,1426000.0,5696000.0,99960000.0,,0.0,94563000.0,0.0,,0.0,201645000.0,1720492570.5369387,0.01437732575410367,0.013575489063704168
2021-12-16,,7821000.0,54824000.0,171833000.0,,11376000.0,114858000.0,3520000.0,,0.0,364232000.0,2101222771.7544372,0.025372509679444488,0.01437732575410367
2021-12-17,,19628000.0,23166000.0,97717000.0,,4206000.0,49700000.0,5544000.0,,10575000.0,210536000.0,2740097103.5637646,0.010727514733785916,0.025372509679444488
2021-12-20,,13640000.000000002,53878000.00000001,391359000.0,,15686000.000000002,137562000.0,8749000.0,,6183000.000000001,627057000.0,1996176026.9527767,0.04231716778062396,0.010727514733785916
2021-12-21,,17940000.0,2069999.9999999998,234587999.99999997,,6889999.999999999,110928999.99999999,9548000.0,,9702000.0,391666999.99999994,2083063376.1553593,0.02737972190096249,0.04231716778062396
2021-12-22,,15984999.999999998,0.0,0.0,,0.0,0.0,0.0,,0.0,15984999.999999998,1718694917.245255,0.0014355439424649074,0.02737972190096249
2021-12-23,,696000.0,697000.0,3484999.9999999995,,0.0,18765000.0,0.0,,0.0,23643000.0,2704476250.020294,0.0024239936330991314,0.0014355439424649074
2021-12-24,,1382000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1382000.0,942259631.3501354,0.0003354030975291175,0.0024239936330991314
2021-12-28,,0.0,2752000.0,77970000.0,,0.0,30870000.000000004,0.0,,0.0,111592000.0,1802911311.339221,0.010879376833872039,0.0003354030975291175
2021-12-29,,0.0,10140000.0,74360000.0,,0.0,64608000.00000001,0.0,,0.0,149108000.0,1113969500.063889,0.024608564057316835,0.010879376833872039
2021-12-30,,1354000.0,10140000.0,1356000.0,,0.0,151200000.0,0.0,,3400000.0000000005,167450000.0,1007612088.2544914,0.027684647718455222,0.024608564057316835
2021-12-31,,2796000.0,0.0,701000.0,,700000.0,0.0,0.0,,0.0,4197000.0,1206077446.8701887,0.0007168735772982236,0.027684647718455222
2022-01-04,,0.0,0.0,1380000.0,,0.0,45342000.0,0.0,,0.0,46722000.0,1369433859.1783721,0.004692753937714333,0.0007168735772982236
2022-01-05,,1992000.0,35748000.0,506632000.0,,30452000.0,146742000.0,0.0,,8004000.0,729570000.0,3049560938.4160676,0.042784854789471326,0.004692753937714333
2022-01-06,,29520000.0,98100000.0,218770000.0,,11101000.0,94685000.0,17469000.0,,12483000.0,482128000.0,2453830302.804891,0.02981548838511893,0.042784854789471326
2022-01-07,,9450000.0,0.0,0.0,,0.0,0.0,6660000.0,,7447000.000000001,23557000.0,2443378845.4949203,0.0017096957615937874,0.02981548838511893
2022-01-10,,1380000.0,0.0,0.0,,0.0,0.0,0.0,,0.0,1380000.0,2113873965.283682,0.00010837070514580688,0.0017096957615937874
