,513330_amont,159688_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2021-08-25,21152000.0,,21152000.0,4881638493.380946,0.0013331596269796837,0.0
2021-08-26,273420000.0,,273420000.0,2984011997.2557187,0.02127356305179722,0.0013331596269796837
2021-08-27,0.0,,0.0,3235559215.764504,0.0,0.02127356305179722
2021-08-30,0.0,,0.0,2510479322.9866743,0.0,0.0
2021-08-31,0.0,,0.0,5987743036.229519,0.0,0.0
2021-09-01,0.0,,0.0,4630805756.216684,0.0,0.0
2021-09-02,208199999.99999997,,208199999.99999997,4503163994.047333,0.0126889001912267,0.0
2021-09-03,0.0,,0.0,4091407941.0881915,0.0,0.0126889001912267
2021-09-06,0.0,,0.0,2990695088.8441844,0.0,0.0
2021-09-07,1420000.0,,1420000.0,3570521887.571433,0.00010927210869568385,0.0
2021-09-08,109032000.0,,109032000.0,3811501273.3198123,0.0071469766693738205,0.00010927210869568385
2021-09-09,301920000.0,,301920000.0,4810468967.187731,0.01903854600860462,0.0071469766693738205
2021-09-10,0.0,,0.0,3367359490.1228447,0.0,0.01903854600860462
2021-09-13,274176000.0,,274176000.0,3107783102.890545,0.022554171496870216,0.0
2021-09-14,1334000.0,,1334000.0,2374809159.018576,0.00010512669411659944,0.022554171496870216
2021-09-15,13000000.0,,13000000.0,3214335554.1222177,0.001059224390648528,0.00010512669411659944
2021-09-16,259940000.0,,259940000.0,2549220989.392469,0.021352641821767368,0.001059224390648528
2021-09-17,0.0,,0.0,3562785799.3878803,0.0,0.021352641821767368
2021-09-23,105780000.0,,105780000.0,2958635261.520853,0.007454894337299086,0.0
2021-09-24,8932000.0,,8932000.0,2488525812.108644,0.0007265700012388773,0.007454894337299086
2021-09-27,233470000.0,,233470000.0,2753534464.680632,0.016557455363893876,0.0007265700012388773
2021-09-28,36232000.0,,36232000.0,2742885112.756784,0.0029725684438946525,0.016557455363893876
2021-09-29,276860000.0,,276860000.0,2024043552.877538,0.02898926733513459,0.0029725684438946525
2021-09-30,6290000.0,,6290000.0,2195465879.0973396,0.000636238667302667,0.02898926733513459
2021-10-08,223068000.0,,223068000.0,3658719867.6672826,0.018055818787825927,0.000636238667302667
2021-10-11,2640000.0,,2640000.0,5234075226.573633,0.00016742240382660605,0.018055818787825927
2021-10-12,291150000.0,,291150000.0,3036155340.6297455,0.02242427236449486,0.00016742240382660605
2021-10-15,530550000.0,,530550000.0,4145450411.9799757,0.034314123685854445,0.02242427236449486
2021-10-18,166912000.0,,166912000.0,2493822526.993098,0.01339333975158212,0.034314123685854445
2021-10-19,0.0,,0.0,2431783708.206707,0.0,0.01339333975158212
2021-10-20,1374000.0,,1374000.0,5245468302.677589,9.003149519880954e-05,0.0
2021-10-21,0.0,,0.0,3209928976.834541,0.0,9.003149519880954e-05
2021-10-22,0.0,,0.0,2234029148.9758124,0.0,0.0
2021-10-25,0.0,,0.0,2254023602.0203695,0.0,0.0
2021-10-26,0.0,,0.0,2160269750.635203,0.0,0.0
2021-10-27,2664000.0,,2664000.0,2547636185.529952,0.00023919367815876348,0.0
2021-10-28,1334000.0,,1334000.0,1928706359.8079307,0.00014240319097026191,0.00023919367815876348
2021-10-29,10592000.0,,10592000.0,2078032586.4904437,0.001201593124204397,0.00014240319097026191
2021-11-01,136920000.0,,136920000.0,2201888831.2735014,0.014208255037800188,0.001201593124204397
2021-11-02,1312000.0,,1312000.0,3173493660.704084,0.00011022905556517092,0.014208255037800188
2021-11-03,110840000.0,,110840000.0,2370114890.9722733,0.01011216067562142,0.00011022905556517092
2021-11-04,7896000.0,,7896000.0,2152520713.6095157,0.0007460911284520616,0.01011216067562142
2021-11-05,10432000.0,,10432000.0,2291776732.868425,0.0010418130489123175,0.0007460911284520616
2021-11-08,232766000.0,,232766000.0,2289986213.3583345,0.023389176329735598,0.0010418130489123175
2021-11-09,184470000.0,,184470000.0,1646017664.1409056,0.02118427820838261,0.023389176329735598
2021-11-10,1300000.0,,1300000.0,2627421661.226217,0.0001225241279565655,0.02118427820838261
2021-11-11,0.0,,0.0,3232206375.734833,0.0,0.0001225241279565655
2021-11-12,0.0,,0.0,3051089355.178779,0.0,0.0
2021-11-15,0.0,,0.0,2104255616.1181707,0.0,0.0
2021-11-16,-1370000.0,,-1370000.0,3025640061.187371,-9.900175786435539e-05,0.0
2021-11-17,0.0,,0.0,2190434432.12694,0.0,-9.900175786435539e-05
2021-11-18,0.0,,0.0,2575208125.7678895,0.0,0.0
2021-11-19,0.0,,0.0,3410139985.664956,0.0,0.0
2021-11-22,0.0,,0.0,2579764136.0010757,0.0,0.0
2021-11-23,23436000.0,,23436000.0,2754575046.4248347,0.0019202581476586867,0.0
2021-11-24,99104000.0,,99104000.0,4108833940.7959876,0.008024887899331428,0.0019202581476586867
2021-11-25,74556000.0,,74556000.0,2145528910.5108395,0.00793227671220107,0.008024887899331428
2021-11-26,446720000.0,,446720000.0,3255023722.783088,0.03721333760439747,0.00793227671220107
2021-11-29,482020000.0,,482020000.0,3419119255.0570717,0.03737978392797512,0.03721333760439747
2021-11-30,650104000.0,,650104000.0,4380761841.636731,0.029438576456664017,0.03737978392797512
2021-12-01,1246000.0,,1246000.0,2824564888.6955447,8.637989214707541e-05,0.029438576456664017
2021-12-02,82812000.0,,82812000.0,2611653249.090595,0.006048350721287725,8.637989214707541e-05
2021-12-03,918696000.0,,918696000.0,4080894597.995954,0.04767907469249182,0.006048350721287725
2021-12-06,827190000.0,,827190000.0,4580338169.863193,0.04630767905311546,0.04767907469249182
2021-12-07,1208000.0,,1208000.0,3852772242.052442,6.789729990111192e-05,0.04630767905311546
2021-12-08,1212000.0,,1212000.0,2433059968.884099,0.00010101488172098792,6.789729990111192e-05
2021-12-09,0.0,,0.0,2094801407.8116014,0.0,0.00010101488172098792
2021-12-10,7308000.0,,7308000.0,2333907112.7385616,0.0007381860841132936,0.0
2021-12-13,1220000.0,,1220000.0,2812906147.511181,0.00010688261497484485,0.0007381860841132936
2021-12-14,558606000.0,,558606000.0,2056332728.7186508,0.04566519635416001,0.00010688261497484485
2021-12-15,375452000.0,,375452000.0,2026688007.5545924,0.028365659283615854,0.04566519635416001
2021-12-16,940057999.9999999,,940057999.9999999,2510094633.0163617,0.07019145851607243,0.028365659283615854
2021-12-17,105247999.99999999,,105247999.99999999,3194583869.7876663,0.005827496929966129,0.07019145851607243
2021-12-20,423320000.00000006,,423320000.00000006,2335066387.5969195,0.03272265255163505,0.005827496929966129
2021-12-21,418099999.99999994,,418099999.99999994,2485463328.434033,0.03023863400424133,0.03272265255163505
2021-12-22,1138000.0,,1138000.0,2034654638.7203684,0.00010385034225238781,0.03023863400424133
2021-12-23,3401999.9999999995,,3401999.9999999995,3296113856.8357253,0.0004280049001987528,0.00010385034225238781
2021-12-24,0.0,,0.0,1130299055.8426313,0.0,0.0004280049001987528
2021-12-28,5600000.000000001,,5600000.000000001,2093288504.857701,0.0006772094059184844,0.0
2021-12-29,198360000.00000003,,198360000.00000003,1334729003.8460937,0.03978961395268411,0.0006772094059184844
2021-12-30,9918000.0,,9918000.0,1192518554.8556354,0.001707880193760066,0.03978961395268411
2021-12-31,0.0,,0.0,1466431726.5398297,0.0,0.001707880193760066
2022-01-04,0.0,,0.0,1603541420.4467638,0.0,0.0
2022-01-05,707628000.0,,707628000.0,3579498032.198098,0.054545188035254766,0.0
2022-01-06,462240000.0,,462240000.0,2890882965.8102546,0.03275759722429016,0.054545188035254766
2022-01-07,0.0,,0.0,2845657432.638273,0.0,0.03275759722429016
2022-01-10,0.0,,0.0,2476764307.5845146,0.0,0.0
2022-01-11,0.0,,0.0,2104743193.60938,0.0,0.0
2022-01-12,0.0,,0.0,3827753144.318847,0.0,0.0
2022-01-13,0.0,,0.0,2468235429.8917675,0.0,0.0
2022-01-14,0.0,,0.0,2288780087.1327405,0.0,0.0
2022-01-17,0.0,,0.0,1633576414.0915995,0.0,0.0
2022-01-18,3473999.9999999995,,3473999.9999999995,2354430799.7426896,0.0003058470612714125,0.0
2022-01-19,65207999.99999999,,65207999.99999999,2150897806.163371,0.006110228754618424,0.0003058470612714125
2022-01-20,0.0,,0.0,4139214179.228172,0.0,0.006110228754618424
2022-01-21,52536000.0,,52536000.0,3670072164.9251785,0.004052594847176447,0.0
2022-01-24,578840000.0,,578840000.0,2608427407.8802967,0.053501254309721705,0.004052594847176447
2022-01-25,606914000.0,,606914000.0,3041680066.0790515,0.04192476777388273,0.053501254309721705
2022-01-26,107919999.99999999,,107919999.99999999,2706964080.2152214,0.008676474919733194,0.04192476777388273
2022-01-27,1006722000.0000001,,1006722000.0000001,3258600118.0749946,0.08138218274192241,0.008676474919733194
2022-01-28,149316000.0,,149316000.0,2335342986.0731206,0.011038459364785692,0.08138218274192241
2022-02-07,0.0,,0.0,2331670518.425405,0.0,0.011038459364785692
2022-02-08,4464000.0,,4464000.0,2257273599.6646705,0.00046784487526088414,0.0
2022-02-09,0.0,,0.0,2964533696.221705,0.0,0.00046784487526088414
2022-02-10,0.0,,0.0,2284513398.8653126,0.0,0.0
2022-02-11,0.0,,0.0,1927711407.3360453,0.0,0.0
2022-02-14,0.0,,0.0,1692203265.5397258,0.0,0.0
2022-02-15,3395999.9999999995,,3395999.9999999995,1525550554.2541084,0.0004386772887308077,0.0
2022-02-16,0.0,,0.0,1632826717.3178306,0.0,0.0004386772887308077
2022-02-17,0.0,,0.0,1644978058.5082693,0.0,0.0
2022-02-18,1140000.0,,1140000.0,3731847304.808311,0.00010750840975973432,0.0
2022-02-21,236070000.00000003,,236070000.00000003,4676291710.098226,0.022329525592921895,0.00010750840975973432
2022-02-22,944112000.0,,944112000.0,3592000704.0270715,0.06793845820418594,0.022329525592921895
2022-02-23,38150000.0,,38150000.0,2554981219.5565844,0.002750746349666913,0.06793845820418594
2022-02-24,919096000.0,,919096000.0,3702142020.847759,0.054594123154135046,0.002750746349666913
2022-02-25,181650000.0,,181650000.0,2698608851.5748944,0.013262096265692015,0.054594123154135046
2022-02-28,280800000.0,,280800000.0,3010980784.6292605,0.020445310997465344,0.013262096265692015
2022-03-01,0.0,,0.0,2118941601.7108247,0.0,0.020445310997465344
2022-03-02,223170000.0,,223170000.0,2134577014.6425734,0.01568082296476895,0.0
2022-03-03,557940000.0,,557940000.0,2188253337.2944384,0.04138029726071809,0.01568082296476895
2022-03-04,1045102000.0,,1045102000.0,4418951467.561775,0.04577762468848559,0.04138029726071809
2022-03-07,1091376000.0,,1091376000.0,4993127943.832643,0.04102424557595003,0.04577762468848559
2022-03-08,136200000.0,,136200000.0,4021487245.211552,0.005838049784879933,0.04102424557595003
2022-03-09,136200000.0,,136200000.0,3958378884.8412466,0.005952602265832446,0.005838049784879933
2022-03-10,137100000.0,,137100000.0,3026231519.833159,0.008062224840276671,0.005952602265832446
2022-03-11,132300000.0,,132300000.0,5546057465.740991,0.004867351530738111,0.008062224840276671
2022-03-14,121800000.00000001,,121800000.00000001,6624607362.147371,0.0045629126749940725,0.004867351530738111
2022-03-15,36700000.0,,36700000.0,8876858645.027641,0.0010277298386150173,0.0045629126749940725
2022-03-16,121200000.00000001,,121200000.00000001,10386781148.762339,0.0028163115272754977,0.0010277298386150173
2022-03-17,-7104000.0,,-7104000.0,9445805668.886648,-0.00016199412295532774,0.0028163115272754977
2022-03-18,56160000.0,,56160000.0,4952118890.441685,0.0021300524194538205,-0.00016199412295532774
2022-03-21,-8244000.0,,-8244000.0,4149568985.310058,-0.00042445850440671156,0.0021300524194538205
2022-03-22,-308320000.0,,-308320000.0,3934391530.9489813,-0.01758348098269115,-0.00042445850440671156
2022-03-23,-513000000.0,,-513000000.0,5831948907.90673,-0.020392370494805107,-0.01758348098269115
2022-03-24,-339500000.0,,-339500000.0,4242629861.1745067,-0.019611368315599495,-0.020392370494805107
2022-03-25,-159600000.0,,-159600000.0,4166749117.2293825,-0.0076784862478574,-0.019611368315599495
2022-03-28,-140400000.0,,-140400000.0,4010819083.3771133,-0.008241196299489604,-0.0076784862478574
2022-03-29,-9600000.0,,-9600000.0,3677373780.1692786,-0.0006311100845539869,-0.008241196299489604
2022-03-30,-182952000.0,,-182952000.0,4261311464.104913,-0.008433765364148148,-0.0006311100845539869
2022-03-31,0.0,,0.0,2013364684.073743,0.0,-0.008433765364148148
2022-04-01,0.0,,0.0,2212155161.167641,0.0,0.0
2022-04-06,0.0,,0.0,2795669113.5462813,0.0,0.0
2022-04-07,0.0,,0.0,2654380201.872119,0.0,0.0
2022-04-08,0.0,,0.0,2443706569.217626,0.0,0.0
2022-04-11,1732000.0,,1732000.0,2714561374.658459,0.00011731443506825102,0.0
2022-04-12,0.0,,0.0,3524511538.58478,0.0,0.00011731443506825102
2022-04-13,0.0,,0.0,2404304884.49738,0.0,0.0
2022-04-14,1784000.0,,1784000.0,2303123720.204526,0.00015220914275611782,0.0
2022-04-19,1728000.0,,1728000.0,2324622414.775746,0.0001572579753268888,0.00015220914275611782
2022-04-20,23328000.0,,23328000.0,1510374539.8845427,0.0026295166851556277,0.0001572579753268888
2022-04-21,60736000.0,,60736000.0,2946168466.377408,0.004518021094736603,0.0026295166851556277
2022-04-22,8300000.0,,8300000.0,2609055223.54125,0.0007302791969787591,0.004518021094736603
