,159920_amont,513660_amont,160924_amont,501302_amont,164705_amont,513600_amont,etfs_amont,index_amt,etf_chg_amt_pct,etf_chg_amt_pct_lag1
2018-01-19,,,-99540.00000000001,,96300.0,,-3240.0000000000146,2488820729.6081614,-8.72451866826107e-08,-1.7112996576826367e-05
2018-01-22,,,-1326.0,,-1442124.684,,-1443450.684,2862633596.8497596,-3.6779022001037055e-05,-8.72451866826107e-08
2018-01-23,,,-70706.1,,856193.0,,785486.9,3728524886.1458783,1.8067559166465106e-05,-3.6779022001037055e-05
2018-01-24,,,-45960.0,,231905.41199999998,,185945.41199999998,3274989426.882446,5.201498023460434e-06,1.8067559166465106e-05
2018-01-25,,,-3648.7000000000003,,341957.69999999995,,338308.99999999994,3296799917.6479607,8.435896305090226e-06,5.201498023460434e-06
2018-01-26,,,0.0,,-646982.5800000001,,-646982.5800000001,3355284368.705054,-1.8067184725207805e-05,8.435896305090226e-06
2018-01-29,,,1032.227,,-659918.788,,-658886.561,3332780479.58016,-1.6115561106995235e-05,-1.8067184725207805e-05
2018-01-30,,,1004.226,,-503226.56,,-502222.334,3144870727.367131,-1.2147887838841519e-05,-1.6115561106995235e-05
2018-01-31,,,3993.6959999999995,,-787603.2000000001,,-783609.5040000001,3447952902.993405,-1.6528870846818006e-05,-1.2147887838841519e-05
2018-02-01,,,0.0,,3456997.668,,3456997.668,2491812523.7170877,9.680297258015812e-05,-1.6528870846818006e-05
2018-02-02,,,8820.986,,-492692.004,,-483871.01800000004,2632445710.417853,-1.5762429300967706e-05,9.680297258015812e-05
2018-02-05,,,0.0,,-2065650.45,,-2065650.45,3921141753.616868,-4.679227483902922e-05,-1.5762429300967706e-05
2018-02-06,,,0.0,,145509.126,,145509.126,7363772480.356501,1.9775049460083836e-06,-4.679227483902922e-05
2018-02-07,,,0.0,,1227922.044,,1227922.044,5530448325.308399,1.8835690797272465e-05,1.9775049460083836e-06
2018-02-08,,,0.0,,-344850.477,,-344850.477,3470916047.0993223,-8.268480137241478e-06,1.8835690797272465e-05
2018-02-09,,,,,1236509.9,,1236509.9,6132433923.89616,1.8083192577082847e-05,-8.268480137241478e-06
2018-02-12,,,0.0,,-26478.395999999997,,-26478.395999999997,3156124760.333427,-6.702036986943035e-07,1.8083192577082847e-05
2018-02-13,,,0.0,,638034.81,,638034.81,2768158566.843039,1.6449910771980455e-05,-6.702036986943035e-07
2018-02-14,,,0.0,,-1399490.7850000001,,-1399490.7850000001,2663101121.646826,-3.707224044002723e-05,1.6449910771980455e-05
2018-02-22,,,0.0,,-1728343.6,,-1728343.6,2550494401.55554,-5.093793701861785e-05,-3.707224044002723e-05
2018-02-23,,,0.0,,-643356.0,,-643356.0,1734396243.1636496,-2.702315888555851e-05,-5.093793701861785e-05
2018-02-26,,,-211.79999999999998,,30752.0,,30540.2,2313696530.183522,9.711266959150972e-07,-2.702315888555851e-05
2018-02-27,,,-106.0,,53297.658,,53191.658,2774808712.6799126,1.3866343443865808e-06,9.711266959150972e-07
2018-02-28,,,-3379.2000000000003,,230998.572,,227619.37199999997,2949712379.1426263,6.171714947281776e-06,1.3866343443865808e-06
